order_id,customer_name,city,product_name,category,price,quantity,revenue,order_date
99,Vikram,Bangalore,Monitor,Electronics,11843,2,23686,07-07-2024
100,Priya,Bangalore,Headphones,Accessories,2736,2,5472,06-06-2023
101,Sneha,Hyderabad,Table,Furniture,9917,2,19834,09-07-2024
102,Meera,Mumbai,Laptop,Electronics,69711,2,139422,03-02-2024
103,Neha,Hyderabad,Table,Furniture,9988,1,9988,27-12-2023
104,Vikram,Mumbai,Table,Furniture,10051,3,30153,13-07-2024
105,Neha,Bangalore,Mouse,Accessories,524,2,1048,22-03-2024
106,Meera,Hyderabad,Table,Furniture,9844,3,29532,19-02-2024
107,Arun,Mumbai,Headphones,Accessories,3137,3,9411,28-01-2023
108,Kiran,Delhi,Laptop,Electronics,69585,3,208755,14-03-2024
109,Arun,Mumbai,Headphones,Accessories,2551,2,5102,24-01-2024
110,Anita,Bangalore,Mouse,Accessories,634,2,1268,24-01-2024
111,Vikram,Mumbai,Monitor,Electronics,12354,1,12354,26-04-2024
112,Rahul,Delhi,Laptop,Electronics,70474,2,140948,18-08-2023
113,Priya,Hyderabad,Laptop,Electronics,70472,1,70472,24-07-2023
114,Rahul,Delhi,Headphones,Accessories,2744,1,2744,29-04-2024
115,Priya,Delhi,Keyboard,Accessories,1476,3,4428,20-09-2023
116,Anita,Bangalore,Phone,Electronics,30296,1,30296,15-11-2023
117,Priya,Delhi,Laptop,Electronics,70451,2,140902,12-08-2024
118,Kiran,Mumbai,Keyboard,Accessories,1077,3,3231,06-09-2023
119,Priya,Chennai,Phone,Electronics,30315,3,90945,12-02-2023
120,Anita,Delhi,Table,Furniture,10177,2,20354,12-03-2023
121,Rohit,Chennai,Laptop,Electronics,70369,2,140738,16-05-2024
122,Priya,Mumbai,Chair,Furniture,8150,2,16300,06-06-2023
123,Kiran,Bangalore,Monitor,Electronics,12130,3,36390,10-05-2024
124,Meera,Mumbai,Monitor,Electronics,11830,1,11830,30-03-2023
125,Vikram,Mumbai,Keyboard,Accessories,1768,2,3536,06-08-2024
126,Neha,Mumbai,Chair,Furniture,7529,2,15058,29-11-2023
127,Arun,Mumbai,Keyboard,Accessories,1363,2,2726,15-12-2023
128,Vikram,Delhi,Monitor,Electronics,12069,1,12069,13-06-2024
129,Sneha,Hyderabad,Keyboard,Accessories,1737,2,3474,15-05-2024
130,Rohit,Bangalore,Mouse,Accessories,961,3,2883,17-05-2024
131,Meera,Hyderabad,Phone,Electronics,29801,1,29801,19-02-2024
132,Sneha,Chennai,Chair,Furniture,7984,3,23952,27-06-2024
133,Anita,Mumbai,Chair,Furniture,7860,3,23580,09-04-2024
134,Vikram,Chennai,Monitor,Electronics,11736,1,11736,17-07-2023
135,Anita,Hyderabad,Headphones,Accessories,2696,1,2696,10-05-2024
136,Vikram,Delhi,Monitor,Electronics,11602,1,11602,31-10-2023
137,Sneha,Chennai,Headphones,Accessories,2809,1,2809,30-06-2024
138,Arun,Chennai,Laptop,Electronics,70497,1,70497,20-07-2024
139,Vikram,Bangalore,Mouse,Accessories,405,1,405,10-08-2024
140,Vikram,Mumbai,Mouse,Accessories,751,2,1502,08-07-2023
141,Rahul,Chennai,Mouse,Accessories,416,1,416,15-02-2024
142,Meera,Hyderabad,Laptop,Electronics,69655,1,69655,30-07-2024
143,Vikram,Hyderabad,Keyboard,Accessories,1121,3,3363,02-03-2024
144,Neha,Delhi,Keyboard,Accessories,1794,3,5382,25-01-2024
145,Meera,Mumbai,Monitor,Electronics,12380,3,37140,15-03-2024
146,Vikram,Delhi,Laptop,Electronics,70124,3,210372,12-04-2023
147,Sneha,Bangalore,Monitor,Electronics,12176,1,12176,10-06-2023
148,Sneha,Bangalore,Phone,Electronics,29660,1,29660,23-02-2024
149,Meera,Delhi,Mouse,Accessories,598,1,598,26-08-2023
150,Vikram,Chennai,Mouse,Accessories,372,3,1116,28-08-2023
151,Vikram,Delhi,Keyboard,Accessories,1435,1,1435,11-07-2024
152,Sneha,Bangalore,Monitor,Electronics,12346,1,12346,15-03-2023
153,Rahul,Bangalore,Monitor,Electronics,12109,3,36327,05-08-2024
154,Vikram,Mumbai,Phone,Electronics,29979,3,89937,08-11-2023
155,Kiran,Chennai,Mouse,Accessories,748,1,748,10-02-2023
156,Kiran,Chennai,Monitor,Electronics,11526,1,11526,23-08-2023
157,Neha,Delhi,Laptop,Electronics,70283,3,210849,03-10-2023
158,Neha,Hyderabad,Headphones,Accessories,2981,3,8943,28-03-2024
159,Vikram,Bangalore,Table,Furniture,10150,2,20300,04-04-2023
160,Meera,Chennai,Table,Furniture,9841,2,19682,18-04-2023
161,Arun,Chennai,Table,Furniture,10210,2,20420,23-10-2023
162,Kiran,Delhi,Laptop,Electronics,69965,1,69965,19-11-2023
163,Vikram,Chennai,Phone,Electronics,30493,2,60986,10-06-2024
164,Rahul,Delhi,Mouse,Accessories,723,1,723,12-07-2023
165,Rohit,Chennai,Mouse,Accessories,940,2,1880,22-02-2023
166,Sneha,Chennai,Headphones,Accessories,3449,2,6898,24-03-2024
167,Meera,Hyderabad,Laptop,Electronics,70496,3,211488,03-09-2023
168,Arun,Chennai,Laptop,Electronics,70065,2,140130,06-04-2023
169,Sneha,Hyderabad,Mouse,Accessories,1269,1,1269,07-06-2023
170,Meera,Chennai,Monitor,Electronics,11925,2,23850,28-04-2024
171,Sneha,Mumbai,Headphones,Accessories,2892,1,2892,04-06-2024
172,Arun,Hyderabad,Monitor,Electronics,12291,2,24582,15-12-2023
173,Rohit,Chennai,Laptop,Electronics,69789,3,209367,02-11-2023
174,Neha,Delhi,Mouse,Accessories,1186,1,1186,02-04-2024
175,Rohit,Mumbai,Chair,Furniture,7840,3,23520,10-07-2024
176,Kiran,Mumbai,Chair,Furniture,8390,1,8390,02-09-2023
177,Neha,Mumbai,Keyboard,Accessories,1876,2,3752,14-02-2023
178,Anita,Mumbai,Table,Furniture,9895,3,29685,05-06-2023
179,Meera,Hyderabad,Headphones,Accessories,3014,3,9042,06-12-2023
180,Priya,Mumbai,Phone,Electronics,30038,2,60076,16-01-2023
181,Arun,Mumbai,Headphones,Accessories,2576,2,5152,29-09-2023
182,Anita,Delhi,Table,Furniture,10165,1,10165,03-12-2023
183,Rohit,Mumbai,Chair,Furniture,8141,3,24423,14-05-2024
184,Rohit,Hyderabad,Phone,Electronics,29740,3,89220,22-10-2023
185,Sneha,Hyderabad,Table,Furniture,9600,3,28800,13-04-2023
186,Meera,Bangalore,Monitor,Electronics,12425,1,12425,17-02-2023
187,Anita,Hyderabad,Monitor,Electronics,11867,2,23734,17-03-2024
188,Arun,Bangalore,Table,Furniture,10079,3,30237,04-07-2023
189,Arun,Bangalore,Phone,Electronics,30124,2,60248,04-09-2023
190,Meera,Delhi,Headphones,Accessories,2737,2,5474,18-09-2023
191,Meera,Chennai,Laptop,Electronics,70420,2,140840,22-10-2023
192,Rohit,Bangalore,Phone,Electronics,29952,2,59904,03-11-2023
193,Kiran,Chennai,Mouse,Accessories,1165,2,2330,23-07-2023
194,Kiran,Mumbai,Phone,Electronics,29742,2,59484,08-08-2024
195,Anita,Delhi,Monitor,Electronics,12216,2,24432,23-01-2023
196,Kiran,Chennai,Laptop,Electronics,70079,3,210237,20-02-2023
197,Neha,Mumbai,Monitor,Electronics,12294,1,12294,27-12-2023
198,Sneha,Bangalore,Monitor,Electronics,12194,3,36582,21-05-2023
199,Priya,Hyderabad,Monitor,Electronics,12307,2,24614,04-02-2023
200,Neha,Chennai,Headphones,Accessories,2592,2,5184,01-12-2023
201,Kiran,Bangalore,Keyboard,Accessories,1135,3,3405,10-01-2024
202,Rohit,Delhi,Monitor,Electronics,12350,1,12350,21-09-2023
203,Meera,Chennai,Chair,Furniture,8323,1,8323,24-04-2024
204,Priya,Bangalore,Keyboard,Accessories,1880,3,5640,11-02-2024
205,Rohit,Chennai,Phone,Electronics,30309,2,60618,15-01-2023
206,Vikram,Delhi,Phone,Electronics,29965,2,59930,26-09-2023
207,Neha,Mumbai,Chair,Furniture,7610,3,22830,28-08-2023
208,Meera,Hyderabad,Chair,Furniture,8437,3,25311,15-08-2023
209,Priya,Mumbai,Monitor,Electronics,12164,2,24328,30-04-2023
210,Arun,Hyderabad,Laptop,Electronics,69811,2,139622,29-04-2023
211,Priya,Bangalore,Headphones,Accessories,2897,2,5794,15-01-2024
212,Rohit,Mumbai,Headphones,Accessories,3406,2,6812,12-04-2023
213,Meera,Delhi,Table,Furniture,10461,2,20922,03-02-2023
214,Anita,Bangalore,Mouse,Accessories,755,1,755,07-01-2024
215,Priya,Chennai,Chair,Furniture,7562,2,15124,10-10-2023
216,Sneha,Hyderabad,Mouse,Accessories,393,3,1179,06-08-2023
217,Neha,Hyderabad,Laptop,Electronics,70305,2,140610,07-09-2023
218,Arun,Delhi,Keyboard,Accessories,1070,3,3210,01-08-2023
219,Neha,Bangalore,Keyboard,Accessories,1336,1,1336,03-01-2023
220,Vikram,Bangalore,Headphones,Accessories,3053,2,6106,28-06-2023
221,Priya,Hyderabad,Headphones,Accessories,2515,2,5030,01-09-2023
222,Neha,Chennai,Laptop,Electronics,69678,2,139356,23-02-2023
223,Arun,Mumbai,Phone,Electronics,30263,1,30263,02-05-2024
224,Meera,Chennai,Phone,Electronics,29962,3,89886,15-08-2023
225,Neha,Hyderabad,Monitor,Electronics,11969,3,35907,01-02-2023
226,Rahul,Mumbai,Table,Furniture,9936,3,29808,21-04-2023
227,Meera,Mumbai,Phone,Electronics,30420,1,30420,26-11-2023
228,Neha,Bangalore,Phone,Electronics,29629,2,59258,22-08-2024
229,Rohit,Chennai,Table,Furniture,10111,3,30333,29-10-2023
230,Meera,Delhi,Table,Furniture,9601,3,28803,28-04-2023
231,Rohit,Bangalore,Table,Furniture,9962,1,9962,28-02-2024
232,Anita,Mumbai,Table,Furniture,9925,3,29775,08-04-2023
233,Anita,Mumbai,Chair,Furniture,8181,2,16362,19-01-2024
234,Arun,Mumbai,Phone,Electronics,29593,1,29593,06-04-2023
235,Kiran,Hyderabad,Chair,Furniture,8331,1,8331,23-07-2024
236,Rahul,Delhi,Chair,Furniture,8186,1,8186,25-02-2024
237,Anita,Mumbai,Laptop,Electronics,70491,2,140982,16-11-2023
238,Anita,Hyderabad,Keyboard,Accessories,1158,3,3474,08-05-2024
239,Sneha,Hyderabad,Chair,Furniture,8365,3,25095,12-01-2024
240,Priya,Chennai,Keyboard,Accessories,1826,2,3652,28-07-2024
241,Neha,Delhi,Laptop,Electronics,70123,3,210369,01-10-2023
242,Rahul,Bangalore,Monitor,Electronics,12219,2,24438,14-12-2023
243,Anita,Hyderabad,Headphones,Accessories,3390,1,3390,02-08-2024
244,Kiran,Hyderabad,Headphones,Accessories,3258,3,9774,01-02-2023
245,Priya,Delhi,Keyboard,Accessories,1385,2,2770,09-04-2024
246,Anita,Bangalore,Chair,Furniture,7819,3,23457,29-11-2023
247,Neha,Delhi,Phone,Electronics,30404,1,30404,09-06-2023
248,Arun,Delhi,Laptop,Electronics,70190,1,70190,06-10-2023
249,Meera,Mumbai,Mouse,Accessories,921,2,1842,29-02-2024
250,Vikram,Bangalore,Phone,Electronics,29853,2,59706,24-04-2023
251,Vikram,Delhi,Mouse,Accessories,839,3,2517,12-11-2023
252,Rahul,Bangalore,Table,Furniture,10113,1,10113,08-01-2023
253,Sneha,Chennai,Keyboard,Accessories,1785,1,1785,19-09-2023
254,Vikram,Chennai,Phone,Electronics,29507,2,59014,16-03-2024
255,Arun,Bangalore,Table,Furniture,10045,3,30135,24-08-2023
256,Rohit,Delhi,Chair,Furniture,7573,2,15146,13-02-2023
257,Kiran,Hyderabad,Mouse,Accessories,1243,1,1243,17-11-2023
258,Neha,Mumbai,Table,Furniture,10226,3,30678,03-03-2024
259,Vikram,Hyderabad,Table,Furniture,9521,2,19042,25-06-2023
260,Neha,Mumbai,Chair,Furniture,7590,2,15180,19-04-2023
261,Sneha,Mumbai,Table,Furniture,10036,1,10036,10-02-2024
262,Vikram,Chennai,Keyboard,Accessories,1341,1,1341,20-03-2023
263,Rohit,Hyderabad,Keyboard,Accessories,1927,2,3854,26-12-2023
264,Arun,Bangalore,Phone,Electronics,29649,2,59298,22-07-2023
265,Arun,Delhi,Headphones,Accessories,3278,3,9834,19-03-2023
266,Arun,Mumbai,Mouse,Accessories,1072,3,3216,16-08-2024
267,Meera,Delhi,Chair,Furniture,8384,3,25152,20-11-2023
268,Arun,Mumbai,Phone,Electronics,29980,2,59960,07-11-2023
269,Vikram,Delhi,Laptop,Electronics,69860,3,209580,17-03-2023
270,Vikram,Mumbai,Mouse,Accessories,338,1,338,13-01-2024
271,Vikram,Hyderabad,Phone,Electronics,30129,3,90387,03-06-2024
272,Kiran,Mumbai,Laptop,Electronics,69960,3,209880,12-07-2023
273,Anita,Delhi,Mouse,Accessories,813,1,813,05-03-2023
274,Meera,Hyderabad,Chair,Furniture,8231,1,8231,31-05-2024
275,Arun,Hyderabad,Keyboard,Accessories,1724,2,3448,25-03-2024
276,Rohit,Delhi,Headphones,Accessories,2872,2,5744,17-10-2023
277,Kiran,Mumbai,Chair,Furniture,8195,3,24585,23-02-2023
278,Anita,Hyderabad,Chair,Furniture,7596,3,22788,31-01-2024
279,Vikram,Chennai,Headphones,Accessories,2841,1,2841,19-08-2024
280,Arun,Chennai,Monitor,Electronics,12490,3,37470,06-02-2024
281,Arun,Delhi,Phone,Electronics,29817,3,89451,21-01-2024
282,Anita,Bangalore,Phone,Electronics,30161,3,90483,09-03-2024
283,Rohit,Chennai,Laptop,Electronics,69871,2,139742,04-07-2023
284,Sneha,Chennai,Mouse,Accessories,496,1,496,21-05-2023
285,Arun,Hyderabad,Monitor,Electronics,12364,1,12364,03-06-2024
286,Rohit,Delhi,Laptop,Electronics,70177,2,140354,15-05-2023
287,Neha,Mumbai,Headphones,Accessories,2666,1,2666,19-06-2023
288,Meera,Hyderabad,Table,Furniture,9873,3,29619,01-09-2023
289,Meera,Delhi,Monitor,Electronics,12270,3,36810,04-04-2024
290,Sneha,Delhi,Keyboard,Accessories,1316,2,2632,18-07-2023
291,Anita,Delhi,Mouse,Accessories,772,2,1544,27-01-2024
292,Rohit,Delhi,Table,Furniture,10489,1,10489,24-07-2023
293,Neha,Bangalore,Monitor,Electronics,11553,3,34659,07-05-2024
294,Anita,Delhi,Phone,Electronics,30228,3,90684,08-05-2023
295,Vikram,Hyderabad,Headphones,Accessories,2779,2,5558,09-06-2024
296,Arun,Mumbai,Phone,Electronics,30469,1,30469,06-04-2024
297,Anita,Hyderabad,Table,Furniture,9554,2,19108,29-05-2024
298,Anita,Bangalore,Table,Furniture,9583,2,19166,18-08-2023
299,Rahul,Chennai,Phone,Electronics,30359,3,91077,10-12-2023
300,Arun,Bangalore,Laptop,Electronics,69793,2,139586,23-05-2023
301,Meera,Mumbai,Laptop,Electronics,70427,1,70427,20-01-2023
302,Vikram,Bangalore,Headphones,Accessories,3061,3,9183,24-06-2024
303,Kiran,Hyderabad,Monitor,Electronics,11743,2,23486,05-05-2023
304,Rahul,Bangalore,Table,Furniture,10154,3,30462,13-04-2024
305,Priya,Hyderabad,Mouse,Accessories,911,3,2733,17-01-2023
306,Rohit,Delhi,Keyboard,Accessories,1735,1,1735,26-10-2023
307,Kiran,Hyderabad,Chair,Furniture,7746,3,23238,02-03-2024
308,Arun,Hyderabad,Chair,Furniture,7569,3,22707,11-07-2024
309,Rohit,Delhi,Laptop,Electronics,69899,2,139798,14-02-2023
310,Kiran,Chennai,Monitor,Electronics,12265,1,12265,01-01-2024
311,Priya,Chennai,Keyboard,Accessories,1750,3,5250,17-04-2023
312,Neha,Chennai,Headphones,Accessories,2545,2,5090,13-07-2024
313,Anita,Bangalore,Mouse,Accessories,1012,2,2024,06-07-2023
314,Arun,Hyderabad,Mouse,Accessories,337,2,674,26-07-2023
315,Rahul,Bangalore,Laptop,Electronics,69823,2,139646,11-06-2024
316,Kiran,Delhi,Mouse,Accessories,559,1,559,15-07-2023
317,Vikram,Chennai,Laptop,Electronics,70386,3,211158,06-12-2023
318,Vikram,Hyderabad,Chair,Furniture,7947,2,15894,26-03-2024
319,Kiran,Chennai,Headphones,Accessories,3008,3,9024,24-05-2024
320,Anita,Delhi,Monitor,Electronics,12320,1,12320,10-03-2024
321,Priya,Mumbai,Headphones,Accessories,3058,2,6116,25-11-2023
322,Priya,Hyderabad,Chair,Furniture,8176,2,16352,10-11-2023
323,Meera,Delhi,Table,Furniture,9670,3,29010,30-03-2024
324,Anita,Mumbai,Laptop,Electronics,70244,2,140488,21-03-2024
325,Vikram,Hyderabad,Phone,Electronics,30187,3,90561,20-02-2024
326,Anita,Delhi,Headphones,Accessories,3475,1,3475,27-05-2023
327,Neha,Mumbai,Laptop,Electronics,69629,1,69629,30-08-2023
328,Anita,Chennai,Table,Furniture,10472,3,31416,03-02-2023
329,Neha,Bangalore,Mouse,Accessories,1271,2,2542,16-01-2024
330,Meera,Hyderabad,Headphones,Accessories,3042,2,6084,12-02-2024
331,Anita,Chennai,Keyboard,Accessories,1983,1,1983,27-01-2023
332,Arun,Mumbai,Table,Furniture,10435,3,31305,01-05-2023
333,Vikram,Chennai,Mouse,Accessories,519,3,1557,20-10-2023
334,Meera,Bangalore,Phone,Electronics,29638,1,29638,07-04-2024
335,Arun,Mumbai,Phone,Electronics,30329,3,90987,24-11-2023
336,Anita,Hyderabad,Monitor,Electronics,12412,2,24824,11-06-2023
337,Arun,Chennai,Keyboard,Accessories,1124,1,1124,23-05-2023
338,Sneha,Mumbai,Laptop,Electronics,69869,3,209607,09-08-2024
339,Anita,Mumbai,Headphones,Accessories,3126,1,3126,09-03-2023
340,Vikram,Mumbai,Mouse,Accessories,838,2,1676,24-02-2024
341,Neha,Hyderabad,Headphones,Accessories,3495,2,6990,17-03-2023
342,Meera,Mumbai,Chair,Furniture,7631,3,22893,06-07-2023
343,Arun,Mumbai,Laptop,Electronics,70351,1,70351,14-06-2024
344,Arun,Chennai,Headphones,Accessories,2665,2,5330,19-08-2023
345,Anita,Delhi,Monitor,Electronics,12366,1,12366,14-09-2023
346,Sneha,Delhi,Monitor,Electronics,11628,3,34884,07-11-2023
347,Neha,Delhi,Phone,Electronics,30014,3,90042,22-06-2023
348,Neha,Delhi,Headphones,Accessories,2675,3,8025,12-12-2023
349,Neha,Hyderabad,Laptop,Electronics,69583,1,69583,13-08-2024
350,Vikram,Bangalore,Table,Furniture,10132,3,30396,01-02-2023
351,Meera,Delhi,Monitor,Electronics,12157,2,24314,09-05-2024
352,Sneha,Mumbai,Monitor,Electronics,11964,1,11964,03-03-2023
353,Arun,Mumbai,Table,Furniture,9995,2,19990,28-07-2023
354,Anita,Delhi,Headphones,Accessories,2820,3,8460,23-11-2023
355,Anita,Mumbai,Headphones,Accessories,3278,2,6556,11-06-2024
356,Rohit,Hyderabad,Chair,Furniture,7747,2,15494,06-05-2023
357,Vikram,Mumbai,Keyboard,Accessories,1144,1,1144,21-02-2023
358,Vikram,Mumbai,Table,Furniture,9754,1,9754,02-12-2023
359,Neha,Chennai,Keyboard,Accessories,1781,1,1781,25-05-2024
360,Rohit,Mumbai,Mouse,Accessories,1200,2,2400,24-05-2024
361,Rahul,Hyderabad,Table,Furniture,10017,2,20034,04-09-2023
362,Sneha,Delhi,Chair,Furniture,7549,1,7549,16-10-2023
363,Meera,Delhi,Mouse,Accessories,592,3,1776,09-01-2023
364,Priya,Mumbai,Headphones,Accessories,3403,2,6806,10-01-2024
365,Kiran,Chennai,Laptop,Electronics,69910,1,69910,06-08-2024
366,Rohit,Bangalore,Chair,Furniture,8066,2,16132,17-03-2023
367,Kiran,Delhi,Mouse,Accessories,1082,3,3246,14-10-2023
368,Neha,Delhi,Phone,Electronics,29631,1,29631,08-02-2024
369,Anita,Chennai,Chair,Furniture,8273,1,8273,23-07-2023
370,Neha,Delhi,Table,Furniture,10012,1,10012,16-02-2023
371,Rahul,Bangalore,Chair,Furniture,8323,2,16646,15-06-2024
372,Meera,Bangalore,Headphones,Accessories,2835,3,8505,23-11-2023
373,Arun,Mumbai,Monitor,Electronics,12107,2,24214,03-06-2024
374,Rohit,Delhi,Mouse,Accessories,1025,3,3075,03-11-2023
375,Meera,Hyderabad,Chair,Furniture,7839,3,23517,23-04-2023
376,Kiran,Delhi,Monitor,Electronics,12315,3,36945,28-01-2023
377,Neha,Mumbai,Monitor,Electronics,12490,3,37470,15-08-2024
378,Neha,Bangalore,Laptop,Electronics,70097,2,140194,24-06-2023
